inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-6001,DataCite,4.5,Property,identifier,https://schema.datacite.org/meta/kernel-4.5/#1,datacite:identifier,,,xsd:string,1..1,A persistent identifier that identifies a resource.,자원을 식별하는 영속적 식별자.,identification.identifier,"dcterms:identifier, schema:identifier, tta0976:Repository_Identifier, tta0976:Collection_Identifier, tta0976:Dataset_Identifier, tta0976:File_Identifier",DataCite Schema 4.5 Mandatory property #1,https://schema.datacite.org/meta/kernel-4.5/
INV-6002,DataCite,4.5,Property,identifierType,https://schema.datacite.org/meta/kernel-4.5/#1.1,datacite:identifierType,datacite:identifier,datacite:identifier,xsd:string,1..1,The type of Identifier.,식별자 유형.,identification.identifier,"tta0976cv:IdentifierType_*",DataCite Schema 4.5 sub-property #1.1. Controlled list (DOI/ARK/Handle/URL/URN/etc.) — TTA-0976이 직접 인용,https://schema.datacite.org/meta/kernel-4.5/
INV-6003,DataCite,4.5,Property,creator,https://schema.datacite.org/meta/kernel-4.5/#2,datacite:creator,,,datacite:Creator,1..*,"The main researchers involved in producing the data, or the authors of the publication, in priority order.",데이터 생산에 관여한 주된 연구자 또는 출판물의 저자 (우선순위 순).,actor.creator,"dcterms:creator, schema:creator, prov:Creator, tta0976:Collection_Creator, tta0976:Dataset_Creator, tta0976:File_Creator",DataCite Schema 4.5 Mandatory property #2,https://schema.datacite.org/meta/kernel-4.5/
INV-6004,DataCite,4.5,Property,creatorName,https://schema.datacite.org/meta/kernel-4.5/#2.1,datacite:creatorName,datacite:creator,datacite:Creator,xsd:string,1..1,The full name of the creator.,생성자의 전체 이름.,actor.creator,"schema:name",DataCite sub-property #2.1,https://schema.datacite.org/meta/kernel-4.5/
INV-6005,DataCite,4.5,Property,nameType,https://schema.datacite.org/meta/kernel-4.5/#2.2,datacite:nameType,datacite:creator,datacite:Creator,xsd:string,0..1,"The type of name. Allowed values: Personal, Organizational.",이름 유형 (Personal 또는 Organizational).,actor.creator,,DataCite sub-property #2.2 (Personal/Organizational enumeration),https://schema.datacite.org/meta/kernel-4.5/
INV-6006,DataCite,4.5,Property,givenName,https://schema.datacite.org/meta/kernel-4.5/#2.3,datacite:givenName,datacite:creator,datacite:Creator,xsd:string,0..1,The personal or first name of the creator.,생성자의 이름 (given name).,actor.creator,"schema:givenName",DataCite sub-property #2.3,https://schema.datacite.org/meta/kernel-4.5/
INV-6007,DataCite,4.5,Property,familyName,https://schema.datacite.org/meta/kernel-4.5/#2.4,datacite:familyName,datacite:creator,datacite:Creator,xsd:string,0..1,The surname or last name of the creator.,생성자의 성 (family name).,actor.creator,"schema:familyName",DataCite sub-property #2.4,https://schema.datacite.org/meta/kernel-4.5/
INV-6008,DataCite,4.5,Property,nameIdentifier,https://schema.datacite.org/meta/kernel-4.5/#2.5,datacite:nameIdentifier,datacite:creator,datacite:Creator,xsd:string,0..*,Uniquely identifies an individual or legal entity according to various schemes (e.g. ORCID).,개인 또는 법인을 식별하는 고유 식별자 (예: ORCID).,identification.identifier,"schema:identifier",DataCite sub-property #2.5,https://schema.datacite.org/meta/kernel-4.5/
INV-6009,DataCite,4.5,Property,affiliation,https://schema.datacite.org/meta/kernel-4.5/#2.6,datacite:affiliation,datacite:creator,datacite:Creator,xsd:string,0..*,The organizational or institutional affiliation of the creator.,생성자의 소속 조직.,actor.creator,"schema:affiliation",DataCite sub-property #2.6,https://schema.datacite.org/meta/kernel-4.5/
INV-6010,DataCite,4.5,Property,title,https://schema.datacite.org/meta/kernel-4.5/#3,datacite:title,,,xsd:string,1..*,A name or title by which a resource is known.,자원이 알려진 이름 또는 제목.,identification.title,"dcterms:title, schema:name, tta0976:Collection_Title, tta0976:Dataset_Title, tta0976:File_Title",DataCite Schema 4.5 Mandatory property #3,https://schema.datacite.org/meta/kernel-4.5/
