inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-3001,DCAT,2024-08-22,Class,Catalog,http://www.w3.org/ns/dcat#Catalog,dcat:Catalog,dcat:Dataset,,,unspecified,A curated collection of metadata about resources.,자원에 대한 메타데이터의 큐레이트된 모음.,structure.dataset,"schema:DataCatalog",DCAT v3 (W3C Rec 2024-08-22),https://www.w3.org/TR/vocab-dcat-3/#Class:Catalog
INV-3002,DCAT,2024-08-22,Class,CatalogRecord,http://www.w3.org/ns/dcat#CatalogRecord,dcat:CatalogRecord,owl:Thing,,,unspecified,"A record in a data catalog, describing the registration of a single dataset or data service.",데이터 카탈로그 내 단일 데이터셋·데이터 서비스의 등록 기술 레코드.,structure.dataset,,Has owl:Restriction: cardinality 1 on foaf:primaryTopic,https://www.w3.org/TR/vocab-dcat-3/#Class:Catalog_Record
INV-3003,DCAT,2024-08-22,Class,DataService,http://www.w3.org/ns/dcat#DataService,dcat:DataService,"dcat:Resource, dctype:Service",,,unspecified,"A site or end-point providing operations related to the discovery of, access to, or processing functions on, data or related resources.",데이터·관련 자원의 발견·접근·처리 기능을 제공하는 사이트 또는 엔드포인트.,distribution.url,,New class added in DCAT 2,https://www.w3.org/TR/vocab-dcat-3/#Class:Data_Service
INV-3004,DCAT,2024-08-22,Class,Dataset,http://www.w3.org/ns/dcat#Dataset,dcat:Dataset,dcat:Resource,,,unspecified,"A collection of data, published or curated by a single source, and available for access or download in one or more representations.",단일 출처가 발행·큐레이트하며 하나 이상의 형태로 접근·다운로드 가능한 데이터 모음.,structure.dataset,"schema:Dataset, croissant:Dataset",,https://www.w3.org/TR/vocab-dcat-3/#Class:Dataset
INV-3005,DCAT,2024-08-22,Class,DatasetSeries,http://www.w3.org/ns/dcat#DatasetSeries,dcat:DatasetSeries,dcat:Dataset,,,unspecified,"A collection of datasets that are published separately, but share some common characteristics that groups them.",별도로 발행되지만 공통 특성으로 묶이는 데이터셋들의 모음.,structure.dataset,"schema:DataFeed",New class added in DCAT 3,https://www.w3.org/TR/vocab-dcat-3/#Class:Dataset_Series
INV-3006,DCAT,2024-08-22,Class,Distribution,http://www.w3.org/ns/dcat#Distribution,dcat:Distribution,owl:Thing,,,unspecified,"A specific representation of a dataset. A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).",데이터셋의 특정 표현. 자연어·미디어 타입·포맷·스키마·시공간 해상도·상세도·프로파일 등에서 다를 수 있음.,uncategorized,"schema:DataDownload",,https://www.w3.org/TR/vocab-dcat-3/#Class:Distribution
INV-3007,DCAT,2024-08-22,Class,Relationship,http://www.w3.org/ns/dcat#Relationship,dcat:Relationship,owl:Thing,,,unspecified,An association class for attaching additional information to a relationship between DCAT Resources.,DCAT Resource 간 관계에 추가 정보를 부착하기 위한 연결 클래스.,uncategorized,,New class added in DCAT 2,https://www.w3.org/TR/vocab-dcat-3/#Class:Relationship
INV-3008,DCAT,2024-08-22,Class,Resource,http://www.w3.org/ns/dcat#Resource,dcat:Resource,owl:Thing,,,unspecified,Resource published or curated by a single agent.,단일 행위자가 발행·큐레이트한 자원 (상위 클래스).,uncategorized,"prov:Entity",New class added in DCAT 2; superclass of Dataset/DataService/Catalog,https://www.w3.org/TR/vocab-dcat-3/#Class:Resource
INV-3009,DCAT,2024-08-22,Class,Role,http://www.w3.org/ns/dcat#Role,dcat:Role,skos:Concept,,,unspecified,"A role is the function of a resource or agent with respect to another resource, in the context of resource attribution or resource relationships.",자원 귀속·관계 맥락에서 자원·행위자가 다른 자원에 대해 가지는 기능.,uncategorized,"prov:Role",New class added in DCAT 2,https://www.w3.org/TR/vocab-dcat-3/#Class:Role
INV-3010,DCAT,2024-08-22,Property,accessService,http://www.w3.org/ns/dcat#accessService,dcat:accessService,,,dcat:DataService,unspecified,A site or end-point that gives access to the distribution of the dataset.,이 배포본에 접근 가능한 사이트 또는 엔드포인트.,distribution.url,,"[CHECK] No formal rdfs:domain in ontology; spec usage indicates dcat:Distribution. New property in DCAT 2",https://www.w3.org/TR/vocab-dcat-3/#Property:distribution_access_service
