inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-6201,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Collection,http://purl.org/dc/dcmitype/Collection,dctype:Collection,owl:Thing,,,unspecified,An aggregation of resources.,자원의 집합체.,structure.dataset,"dcat:Catalog, schema:Collection (loose), tta0976cv:FileType_Collection (loose)",DCMI Type Vocabulary 12 standard types,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6202,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Dataset,http://purl.org/dc/dcmitype/Dataset,dctype:Dataset,owl:Thing,,,unspecified,Data encoded in a defined structure.,정의된 구조로 인코딩된 데이터.,structure.dataset,"dcat:Dataset, schema:Dataset, tta0976:Dataset","DCMI Type Vocabulary. equivalentClass with dcat:Dataset, schema:Dataset",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6203,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Event,http://purl.org/dc/dcmitype/Event,dctype:Event,owl:Thing,,,unspecified,A non-persistent time-based occurrence.,비영속적 시간 기반 사건.,uncategorized,"schema:Event, tta0976cv:FileType_Event",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6204,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Image,http://purl.org/dc/dcmitype/Image,dctype:Image,owl:Thing,,,unspecified,A visual representation other than text.,텍스트 외의 시각적 표현.,uncategorized,"schema:ImageObject, tta0976cv:FileType_Image","DCMI Type Vocabulary. Includes both StillImage and MovingImage as subtypes",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6205,DCMI Type Vocabulary,DCMI 2012-06-14,Class,InteractiveResource,http://purl.org/dc/dcmitype/InteractiveResource,dctype:InteractiveResource,owl:Thing,,,unspecified,"A resource requiring interaction from the user to be understood, executed, or experienced.",이해·실행·경험을 위해 사용자 상호작용이 필요한 자원.,uncategorized,"tta0976cv:FileType_InteractiveResource",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6206,DCMI Type Vocabulary,DCMI 2012-06-14,Class,MovingImage,http://purl.org/dc/dcmitype/MovingImage,dctype:MovingImage,dctype:Image,,,unspecified,A series of visual representations imparting an impression of motion when shown in succession.,연속적으로 표시될 때 움직임의 인상을 주는 일련의 시각적 표현.,uncategorized,"schema:VideoObject, tta0976cv:FileType_MovingImage","DCMI Type Vocabulary. Sub-class of dctype:Image",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6207,DCMI Type Vocabulary,DCMI 2012-06-14,Class,PhysicalObject,http://purl.org/dc/dcmitype/PhysicalObject,dctype:PhysicalObject,owl:Thing,,,unspecified,"An inanimate, three-dimensional object or substance.",무생물의 3차원 객체 또는 물질.,uncategorized,"tta0976cv:FileType_PhysicalObject",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6208,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Service,http://purl.org/dc/dcmitype/Service,dctype:Service,owl:Thing,,,unspecified,A system that provides one or more functions.,하나 이상의 기능을 제공하는 시스템.,uncategorized,"dcat:DataService, schema:Service, tta0976cv:FileType_Service",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6209,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Software,http://purl.org/dc/dcmitype/Software,dctype:Software,owl:Thing,,,unspecified,A computer program in source or compiled form.,소스 또는 컴파일된 형태의 컴퓨터 프로그램.,uncategorized,"schema:SoftwareApplication, tta0976cv:FileType_Software",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6210,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Sound,http://purl.org/dc/dcmitype/Sound,dctype:Sound,owl:Thing,,,unspecified,A resource primarily intended to be heard.,주로 청취 대상이 되는 자원.,uncategorized,"schema:AudioObject, tta0976cv:FileType_Sound",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6211,DCMI Type Vocabulary,DCMI 2012-06-14,Class,StillImage,http://purl.org/dc/dcmitype/StillImage,dctype:StillImage,dctype:Image,,,unspecified,A static visual representation.,정적 시각 표현.,uncategorized,"schema:ImageObject, tta0976cv:FileType_StillImage","DCMI Type Vocabulary. Sub-class of dctype:Image",https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
INV-6212,DCMI Type Vocabulary,DCMI 2012-06-14,Class,Text,http://purl.org/dc/dcmitype/Text,dctype:Text,owl:Thing,,,unspecified,A resource consisting primarily of words for reading.,주로 읽기를 위한 단어로 구성된 자원.,uncategorized,"tta0976cv:FileType_Text",DCMI Type Vocabulary,https://www.dublincore.org/specifications/dublin-core/dcmi-terms/#section-7
