inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-3500,Dublin Core (via DCAT),DCMI 2020-01-20,Property,title,http://purl.org/dc/terms/title,dcterms:title,,,rdfs:Literal,unspecified,A name given to the resource.,자원에 부여된 이름.,identification.title,"schema:name, cmns-txt:hasName",DCAT v3 normative dependency for sc:name equivalent,http://purl.org/dc/terms/title
INV-3501,Dublin Core (via DCAT),DCMI 2020-01-20,Property,description,http://purl.org/dc/terms/description,dcterms:description,dc:description,,,unspecified,An account of the resource.,자원에 대한 설명.,identification.description,"schema:description","DCAT v3 normative dependency. Spec scope-note: ""Description may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.""",http://purl.org/dc/terms/description
INV-3502,Dublin Core (via DCAT),DCMI 2020-01-20,Property,identifier,http://purl.org/dc/terms/identifier,dcterms:identifier,,,rdfs:Literal,unspecified,An unambiguous reference to the resource within a given context.,주어진 맥락 내 자원의 명확한 참조.,identification.identifier,"schema:identifier",DCAT v3 normative dependency,http://purl.org/dc/terms/identifier
INV-3503,Dublin Core (via DCAT),DCMI 2020-01-20,Property,issued,http://purl.org/dc/terms/issued,dcterms:issued,,,rdfs:Literal,unspecified,Date of formal issuance of the resource.,자원의 공식 발행 날짜.,temporal.creation,"schema:datePublished, dcat:startDate (loose)",DCAT v3 normative dependency,http://purl.org/dc/terms/issued
INV-3504,Dublin Core (via DCAT),DCMI 2020-01-20,Property,modified,http://purl.org/dc/terms/modified,dcterms:modified,,,rdfs:Literal,unspecified,Date on which the resource was changed.,자원이 변경된 날짜.,temporal.modification,"schema:dateModified",DCAT v3 normative dependency,http://purl.org/dc/terms/modified
INV-3505,Dublin Core (via DCAT),DCMI 2020-01-20,Property,language,http://purl.org/dc/terms/language,dcterms:language,,,dcterms:LinguisticSystem,unspecified,A language of the resource.,자원의 언어.,uncategorized,"schema:inLanguage",DCAT v3 normative dependency,http://purl.org/dc/terms/language
INV-3506,Dublin Core (via DCAT),DCMI 2020-01-20,Property,license,http://purl.org/dc/terms/license,dcterms:license,dc:rights,,dcterms:LicenseDocument,unspecified,A legal document giving official permission to do something with the resource.,자원에 공식 허가를 부여하는 법적 문서.,rights.license,"schema:license",DCAT v3 normative dependency,http://purl.org/dc/terms/license
INV-3507,Dublin Core (via DCAT),DCMI 2020-01-20,Property,rights,http://purl.org/dc/terms/rights,dcterms:rights,dc:rights,,dcterms:RightsStatement,unspecified,Information about rights held in and over the resource.,자원에 보유된 권리에 대한 정보.,rights.access,,DCAT v3 normative dependency,http://purl.org/dc/terms/rights
INV-3508,Dublin Core (via DCAT),DCMI 2020-01-20,Property,accessRights,http://purl.org/dc/terms/accessRights,dcterms:accessRights,dcterms:rights,,dcterms:RightsStatement,unspecified,Information about who access the resource or an indication of its security status.,자원에 접근할 수 있는 사람 또는 보안 상태에 대한 정보.,rights.access,"schema:conditionsOfAccess",DCAT v3 normative dependency,http://purl.org/dc/terms/accessRights
INV-3509,Dublin Core (via DCAT),DCMI 2020-01-20,Property,creator,http://purl.org/dc/terms/creator,dcterms:creator,dc:creator,,dcterms:Agent,unspecified,An entity responsible for making the resource.,자원을 만드는 책임이 있는 개체.,actor.creator,"schema:creator, prov:Creator",DCAT v3 normative dependency,http://purl.org/dc/terms/creator
INV-3510,Dublin Core (via DCAT),DCMI 2020-01-20,Property,publisher,http://purl.org/dc/terms/publisher,dcterms:publisher,dc:publisher,,dcterms:Agent,unspecified,An entity responsible for making the resource available.,자원을 이용 가능하게 하는 책임이 있는 개체.,actor.publisher,"schema:publisher, prov:Publisher",DCAT v3 normative dependency,http://purl.org/dc/terms/publisher
INV-3511,Dublin Core (via DCAT),DCMI 2020-01-20,Property,format,http://purl.org/dc/terms/format,dcterms:format,dc:format,,"dcterms:Extent, dcterms:MediaType",unspecified,"The file format, physical medium, or dimensions of the resource.","자원의 파일 포맷, 물리 매체 또는 치수.",distribution.media_type,"schema:encodingFormat, dcat:mediaType, dcat:compressFormat",DCAT v3 normative dependency,http://purl.org/dc/terms/format
INV-3512,Dublin Core (via DCAT),DCMI 2020-01-20,Property,type,http://purl.org/dc/terms/type,dcterms:type,dc:type,,,unspecified,The nature or genre of the resource.,자원의 성격 또는 장르.,uncategorized,,DCAT v3 normative dependency,http://purl.org/dc/terms/type
INV-3513,Dublin Core (via DCAT),DCMI 2020-01-20,Property,subject,http://purl.org/dc/terms/subject,dcterms:subject,dc:subject,,,unspecified,A topic of the resource.,자원의 주제.,identification.keyword,"schema:about, dcat:theme",DCAT v3 normative dependency,http://purl.org/dc/terms/subject
INV-3514,Dublin Core (via DCAT),DCMI 2020-01-20,Property,relation,http://purl.org/dc/terms/relation,dcterms:relation,dc:relation,,,unspecified,A related resource.,관련된 자원.,uncategorized,,DCAT v3 normative dependency. Parent of conformsTo/hasPart/isPartOf/isReferencedBy/references/source,http://purl.org/dc/terms/relation
INV-3515,Dublin Core (via DCAT),DCMI 2020-01-20,Property,conformsTo,http://purl.org/dc/terms/conformsTo,dcterms:conformsTo,dcterms:relation,,dcterms:Standard,unspecified,An established standard to which the described resource conforms.,기술된 자원이 따르는 확립된 표준.,uncategorized,,DCAT v3 normative dependency. Croissant requires this with value http://mlcommons.org/croissant/1.0,http://purl.org/dc/terms/conformsTo
INV-3516,Dublin Core (via DCAT),DCMI 2020-01-20,Property,hasPart,http://purl.org/dc/terms/hasPart,dcterms:hasPart,dcterms:relation,,,unspecified,A related resource that is included either physically or logically in the described resource.,기술된 자원에 물리적·논리적으로 포함된 관련 자원.,structure.dataset,"schema:hasPart",DCAT v3 normative dependency,http://purl.org/dc/terms/hasPart
INV-3517,Dublin Core (via DCAT),DCMI 2020-01-20,Property,isPartOf,http://purl.org/dc/terms/isPartOf,dcterms:isPartOf,dcterms:relation,,,unspecified,A related resource in which the described resource is physically or logically included.,기술된 자원이 물리적·논리적으로 포함된 상위 관련 자원.,structure.dataset,"schema:isPartOf, dcat:inSeries",DCAT v3 normative dependency,http://purl.org/dc/terms/isPartOf
INV-3518,Dublin Core (via DCAT),DCMI 2020-01-20,Property,isReferencedBy,http://purl.org/dc/terms/isReferencedBy,dcterms:isReferencedBy,dcterms:relation,,,unspecified,"A related resource that references, cites, or otherwise points to the described resource.",기술된 자원을 참조·인용하는 관련 자원.,uncategorized,,DCAT v3 normative dependency,http://purl.org/dc/terms/isReferencedBy
