inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-5001,DQV,2016-12-15,Class,QualityMeasurement,http://www.w3.org/ns/dqv#QualityMeasurement,dqv:QualityMeasurement,qb:Observation,,,unspecified,Represents the evaluation of a given dataset (or dataset distribution) against a specific quality metric.,주어진 데이터셋(또는 배포본)을 특정 품질 메트릭에 대해 평가한 결과.,quality.general,"daq:Observation","W3C Note 2016-12-15. Subclass of qb:Observation",https://www.w3.org/TR/vocab-dqv/#dqv:QualityMeasurement
INV-5002,DQV,2016-12-15,Class,Metric,http://www.w3.org/ns/dqv#Metric,dqv:Metric,owl:Thing,,,unspecified,Represents a standard to measure a quality dimension. An observation (instance of dqv:QualityMeasurement) assigns a value in a given unit to a Metric.,품질 차원을 측정하는 표준. QualityMeasurement는 단위 값을 Metric에 할당함.,quality.general,"daq:Metric",,https://www.w3.org/TR/vocab-dqv/#dqv:Metric
INV-5003,DQV,2016-12-15,Class,Dimension,http://www.w3.org/ns/dqv#Dimension,dqv:Dimension,skos:Concept,,,unspecified,Represents criteria relevant for assessing quality. Each quality dimension must have one or more metric to measure it. A dimension is linked with a category using the dqv:inCategory property.,품질 평가에 관련된 기준. 각 차원은 하나 이상의 메트릭을 가져야 함.,quality.general,"daq:Dimension",,https://www.w3.org/TR/vocab-dqv/#dqv:Dimension
INV-5004,DQV,2016-12-15,Class,Category,http://www.w3.org/ns/dqv#Category,dqv:Category,skos:Concept,,,unspecified,Represents a group of quality dimensions in which a common type of information is used as quality indicator.,공통 정보 유형을 품질 지표로 사용하는 품질 차원들의 그룹.,quality.general,"daq:Category",,https://www.w3.org/TR/vocab-dqv/#dqv:Category
INV-5005,DQV,2016-12-15,Class,QualityMeasurementDataset,http://www.w3.org/ns/dqv#QualityMeasurementDataset,dqv:QualityMeasurementDataset,qb:DataSet,,,unspecified,"Represents a dataset of quality measurements, evaluations of one or more datasets (or dataset distributions) against specific quality metrics.","하나 이상의 데이터셋(또는 배포본)을 특정 품질 메트릭에 대해 평가한 측정값의 데이터셋.",quality.general,"daq:QualityGraph",,https://www.w3.org/TR/vocab-dqv/#dqv:QualityMeasurementDataset
INV-5006,DQV,2016-12-15,Class,QualityPolicy,http://www.w3.org/ns/dqv#QualityPolicy,dqv:QualityPolicy,owl:Thing,,,unspecified,Represents a policy or agreement that is chiefly governed by data quality concerns.,주로 데이터 품질 관심사에 의해 좌우되는 정책 또는 합의.,quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:QualityPolicy
INV-5007,DQV,2016-12-15,Class,QualityAnnotation,http://www.w3.org/ns/dqv#QualityAnnotation,dqv:QualityAnnotation,oa:Annotation,,,unspecified,"Represents quality annotations, including ratings, quality certificates or feedback that can be associated to datasets or distributions. Quality annotations must have one oa:motivatedBy statement with an instance of oa:Motivation (and skos:Concept) that reflects a quality assessment purpose.","데이터셋·배포본에 연관 가능한 품질 주석 (등급·증명서·피드백 포함). oa:motivatedBy에 dqv:qualityAssessment 인스턴스 필요.",quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:QualityAnnotation
INV-5008,DQV,2016-12-15,Class,QualityCertificate,http://www.w3.org/ns/dqv#QualityCertificate,dqv:QualityCertificate,dqv:QualityAnnotation,,,unspecified,"An annotation that associates a resource (especially, a dataset or a distribution) to another resource (for example, a document) that certifies the resource's quality according to a set of quality assessment rules.","자원(특히 데이터셋·배포본)을 품질 평가 규칙에 따라 품질을 증명하는 다른 자원(예: 문서)에 연결하는 주석.",quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:QualityCertificate
INV-5009,DQV,2016-12-15,Class,UserQualityFeedback,http://www.w3.org/ns/dqv#UserQualityFeedback,dqv:UserQualityFeedback,"dqv:QualityAnnotation, duv:UserFeedback",,,unspecified,Represents feedback that users have on the quality of datasets or distributions.,사용자가 데이터셋·배포본의 품질에 대해 가지는 피드백.,quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:UserQualityFeedback
INV-5010,DQV,2016-12-15,Class,QualityMetadata,http://www.w3.org/ns/dqv#QualityMetadata,dqv:QualityMetadata,<http://www.w3.org/2004/03/trix/rdfg-1/Graph>,,,unspecified,"Represents quality metadata, it is defined to group quality certificates, policies, measurements and annotations under a named graph.","품질 메타데이터를 표현. 품질 증명서·정책·측정·주석을 named graph로 묶기 위해 정의됨.",quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:QualityMetadata
INV-5011,DQV,2016-12-15,Property,isMeasurementOf,http://www.w3.org/ns/dqv#isMeasurementOf,dqv:isMeasurementOf,,qb:Observation,dqv:Metric,unspecified,Indicates the metric being observed.,관찰되는 메트릭을 가리킴.,quality.general,"daq:metric",,https://www.w3.org/TR/vocab-dqv/#dqv:isMeasurementOf
INV-5012,DQV,2016-12-15,Property,computedOn,http://www.w3.org/ns/dqv#computedOn,dqv:computedOn,,dqv:QualityMeasurement,rdfs:Resource,unspecified,"Refers to the resource (e.g., a dataset, a linkset, a graph, a set of triples) on which the quality measurement is performed. In the DQV context, this property is generally expected to be used in statements in which objects are instances of dcat:Dataset or dcat:Distribution.","품질 측정이 수행된 자원 (데이터셋·linkset·그래프 등).",quality.general,"daq:computedOn",inverseOf hasQualityMeasurement,https://www.w3.org/TR/vocab-dqv/#dqv:computedOn
INV-5013,DQV,2016-12-15,Property,value,http://www.w3.org/ns/dqv#value,dqv:value,,dqv:QualityMeasurement,,unspecified,Refers to values computed by metric.,메트릭에 의해 계산된 값.,quality.general,"daq:value",DatatypeProperty,https://www.w3.org/TR/vocab-dqv/#dqv:value
INV-5014,DQV,2016-12-15,Property,expectedDataType,http://www.w3.org/ns/dqv#expectedDataType,dqv:expectedDataType,,dqv:Metric,xsd:anySimpleType,unspecified,Represents the expected data type for metric's observed value (e.g. xsd:boolean xsd:double etc...),"메트릭의 관찰값에 대한 기대 데이터 타입 (예: xsd:boolean, xsd:double).",quality.general,"daq:expectedDataType",,https://www.w3.org/TR/vocab-dqv/#dqv:expectedDataType
INV-5015,DQV,2016-12-15,Property,inCategory,http://www.w3.org/ns/dqv#inCategory,dqv:inCategory,,dqv:Dimension,dqv:Category,unspecified,Represents the category a dimension is grouped in.,차원이 속한 카테고리.,quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:inCategory
INV-5016,DQV,2016-12-15,Property,inDimension,http://www.w3.org/ns/dqv#inDimension,dqv:inDimension,,,dqv:Dimension,unspecified,"Represents the dimensions a quality metric, certificate and annotation allow a measurement of.","품질 메트릭·증명서·주석이 측정 가능한 차원.",quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:inDimension
INV-5017,DQV,2016-12-15,Property,hasQualityMeasurement,http://www.w3.org/ns/dqv#hasQualityMeasurement,dqv:hasQualityMeasurement,,,dqv:QualityMeasurement,unspecified,"Refers to the performed quality measurements. Quality measurements can be performed to any kind of resource (e.g., a dataset, a linkset, a graph, a set of triples). However, in the DQV context, this property is generally expected to be used in statements in which subjects are instances of dcat:Dataset or dcat:Distribution.","수행된 품질 측정을 가리킴. DQV 맥락에서 주어는 일반적으로 dcat:Dataset 또는 dcat:Distribution 인스턴스.",quality.general,,inverseOf computedOn,https://www.w3.org/TR/vocab-dqv/#dqv:hasQualityMeasurement
INV-5018,DQV,2016-12-15,Property,hasQualityMetadata,http://www.w3.org/ns/dqv#hasQualityMetadata,dqv:hasQualityMetadata,,,dqv:QualityMetadata,unspecified,"Refers to a grouping of quality information such as certificates, policies, measurements and annotations as a named graph. Quality information represented in such a grouping can pertain to any kind of resource.","품질 증명서·정책·측정·주석 등 품질 정보의 named graph 묶음을 가리킴.",quality.general,,,https://www.w3.org/TR/vocab-dqv/#dqv:hasQualityMetadata
INV-5019,DQV,2016-12-15,Property,hasQualityAnnotation,http://www.w3.org/ns/dqv#hasQualityAnnotation,dqv:hasQualityAnnotation,,,dqv:QualityAnnotation,unspecified,Refers to a quality annotation. Quality annotation can be applied to any kind of resource. In the DQV context this property is generally expected to be used in statements in which subjects are instances of dcat:Dataset or dcat:Distribution.,품질 주석을 가리킴. DQV 맥락에서 주어는 일반적으로 dcat:Dataset 또는 dcat:Distribution.,quality.general,,subPropertyOf inverseOf oa:hasTarget,https://www.w3.org/TR/vocab-dqv/#dqv:hasQualityAnnotation
INV-5020,DQV,2016-12-15,Enumeration,qualityAssessment,http://www.w3.org/ns/dqv#qualityAssessment,dqv:qualityAssessment,oa:Motivation,,,unspecified,Motivation that must be specified for quality annotations.,품질 주석에 대해 반드시 명시되어야 하는 motivation.,quality.general,,Instance of oa:Motivation,https://www.w3.org/TR/vocab-dqv/#dqv:qualityAssessment
INV-5021,DQV,2016-12-15,Enumeration,precision,http://www.w3.org/ns/dqv#precision,dqv:precision,dqv:Dimension,,,unspecified,"Precision is a quality dimension, which refers to the recorded level of details. It represents the exactness of a measurement or description. It is equivalent the notion of Precision from ISO 25012.","기록된 상세 수준을 가리키는 품질 차원. 측정·기술의 정확성. ISO 25012의 Precision 개념과 동등.",quality.accuracy,,Instance of dqv:Dimension,https://www.w3.org/TR/vocab-dqv/#dqv:precision
