inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-6101,re3data,3.1,Class,repository,https://www.re3data.org/schema#repository,re3data:repository,,,,1..1,The container element for a research data repository.,연구데이터 리포지터리 컨테이너 요소.,structure.dataset,"dcat:Catalog (loose), tta0976:Repository","re3data Schema 3.1 root element. TTA-0976이 Repository 클래스 출처로 사용",https://www.re3data.org/schema
INV-6102,re3data,3.1,Property,repositoryName,https://www.re3data.org/schema#repositoryName,re3data:repositoryName,re3data:repository,re3data:repository,xsd:string,1..1,The full name of the repository.,리포지터리의 전체 이름.,identification.title,"dcterms:title, schema:name, tta0976:RepositoryName",re3data property ID 4. TTA-0976 RepositoryName(R4) 출처,https://www.re3data.org/schema
INV-6103,re3data,3.1,Property,additionalName,https://www.re3data.org/schema#additionalName,re3data:additionalName,re3data:repository,re3data:repository,xsd:string,0..*,An additional name for the repository (e.g. translation acronym).,리포지터리의 추가 이름 (번역명·약어 등).,identification.title,,re3data property ID 4.1,https://www.re3data.org/schema
INV-6104,re3data,3.1,Property,repositoryURL,https://www.re3data.org/schema#repositoryURL,re3data:repositoryURL,re3data:repository,re3data:repository,xsd:anyURI,1..1,URL of the repository service.,리포지터리 서비스의 URL.,distribution.url,"dcat:landingPage, schema:url, tta0976:RepositoryUrl",re3data property ID 4 URL field. TTA-0976 RepositoryUrl(R2) 출처,https://www.re3data.org/schema
INV-6105,re3data,3.1,Property,repositoryIdentifier,https://www.re3data.org/schema#repositoryIdentifier,re3data:repositoryIdentifier,re3data:repository,re3data:repository,xsd:string,0..*,Identifier of the repository registered in registries.,레지스트리에 등록된 리포지터리 식별자.,identification.identifier,"dcterms:identifier, tta0976:Repository_Identifier",re3data property ID 5. TTA-0976 Repository Identifier(R3) 출처,https://www.re3data.org/schema
INV-6106,re3data,3.1,Property,repositoryIdentifierType,https://www.re3data.org/schema#repositoryIdentifierType,re3data:repositoryIdentifierType,re3data:repositoryIdentifier,re3data:repositoryIdentifier,xsd:string,0..1,Type of the repository identifier.,리포지터리 식별자의 유형.,identification.identifier,"tta0976:Repository_IdentifierType",re3data property ID 5.1,https://www.re3data.org/schema
INV-6107,re3data,3.1,Property,description,https://www.re3data.org/schema#description,re3data:description,re3data:repository,re3data:repository,xsd:string,0..1,A short description of the repository.,리포지터리에 대한 간략한 설명.,identification.description,"dcterms:description, schema:description, tta0976:Repository_Description",re3data property ID 6. TTA-0976 Repository Description(R18) 출처,https://www.re3data.org/schema
INV-6108,re3data,3.1,Property,repositoryContact,https://www.re3data.org/schema#repositoryContact,re3data:repositoryContact,re3data:repository,re3data:repository,xsd:string,0..*,Contact information of the repository.,리포지터리 연락처 정보.,actor.contact,"schema:contactPoint, dcat:contactPoint, tta0976:RepositoryContact",re3data property ID 7. TTA-0976 RepositoryContact(R21) 출처,https://www.re3data.org/schema
INV-6109,re3data,3.1,Property,type,https://www.re3data.org/schema#type,re3data:type,re3data:repository,re3data:repository,xsd:string,1..*,Type of the repository (disciplinary/governmental/institutional/multidisciplinary/project-related/other).,리포지터리 유형 (학문 분야/정부/기관/다학제/프로젝트/기타).,uncategorized,"dcterms:type, tta0976:Repository_Type",re3data property ID 10. TTA-0976 Repository Type(R5) 출처,https://www.re3data.org/schema
INV-6110,re3data,3.1,Property,repositoryLanguage,https://www.re3data.org/schema#repositoryLanguage,re3data:repositoryLanguage,re3data:repository,re3data:repository,xsd:string,0..*,Language of the user interface (ISO 639-3).,사용자 인터페이스 언어 (ISO 639-3).,uncategorized,"dcterms:language, tta0976:RepositoryLanguage",re3data property ID 12. TTA-0976 RepositoryLanguage(R6) 출처,https://www.re3data.org/schema
