inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url
INV-1001,Schema.org,current (2026-05-03),Class,Thing,https://schema.org/Thing,schema:Thing,,,,unspecified,The most generic type of item.,모든 항목의 최상위 일반 타입.,uncategorized,,Top of class hierarchy,https://schema.org/Thing
INV-1002,Schema.org,current (2026-05-03),Class,CreativeWork,https://schema.org/CreativeWork,schema:CreativeWork,schema:Thing,,,unspecified,"The most generic kind of creative work, including books, movies, photographs, software programs, etc.","책·영화·사진·소프트웨어 등을 포함하는 가장 일반적인 창작물 타입.",uncategorized,"prov:Entity",Parent of Dataset/DataCatalog/MediaObject,https://schema.org/CreativeWork
INV-1003,Schema.org,current (2026-05-03),Class,Dataset,https://schema.org/Dataset,schema:Dataset,schema:CreativeWork,,,unspecified,A body of structured information describing some topic(s) of interest.,주제에 대한 구조화된 정보의 집합체.,structure.dataset,"dcat:Dataset, dctype:Dataset, void:Dataset, prov:Entity (loose), cr extends sc:Dataset","equivalentClass declared with dcat:Dataset, dctype:Dataset, void:Dataset",https://schema.org/Dataset
INV-1004,Schema.org,current (2026-05-03),Class,DataCatalog,https://schema.org/DataCatalog,schema:DataCatalog,schema:CreativeWork,,,unspecified,A collection of datasets.,데이터셋들의 모음.,structure.dataset,"dcat:Catalog",equivalentClass declared with dcat:Catalog,https://schema.org/DataCatalog
INV-1005,Schema.org,current (2026-05-03),Class,DataDownload,https://schema.org/DataDownload,schema:DataDownload,schema:MediaObject,,,unspecified,All or part of a [[Dataset]] in downloadable form.,다운로드 가능한 형태의 데이터셋 전부 또는 일부.,distribution.url,"dcat:Distribution, cr:FileObject (loose)",equivalentClass declared with dcat:Distribution,https://schema.org/DataDownload
INV-1006,Schema.org,current (2026-05-03),Class,DataFeed,https://schema.org/DataFeed,schema:DataFeed,schema:Dataset,,,unspecified,A single feed providing structured information about one or more entities or topics.,하나 이상의 개체·주제에 대한 구조화된 정보를 제공하는 단일 피드.,structure.dataset,,,https://schema.org/DataFeed
INV-1007,Schema.org,current (2026-05-03),Class,DataFeedItem,https://schema.org/DataFeedItem,schema:DataFeedItem,schema:Intangible,,,unspecified,A single item within a larger data feed.,데이터 피드 내 단일 항목.,structure.recordset,,,https://schema.org/DataFeedItem
INV-1008,Schema.org,current (2026-05-03),Class,MediaObject,https://schema.org/MediaObject,schema:MediaObject,schema:CreativeWork,,,unspecified,"A media object, such as an image, video, audio, or text object embedded in a web page or a downloadable dataset i.e. DataDownload. Note that a creative work may have many media objects associated with it on the same web page. For example, a page about a single song (MusicRecording) may have a music video (VideoObject), and a high and low bandwidth audio stream (2 AudioObject's).","웹 페이지 또는 다운로드 가능 데이터셋(DataDownload)에 포함된 이미지·비디오·오디오·텍스트 등 미디어 객체.",distribution.url,,Parent of DataDownload/ImageObject/VideoObject/AudioObject,https://schema.org/MediaObject
INV-1009,Schema.org,current (2026-05-03),Class,Person,https://schema.org/Person,schema:Person,schema:Thing,,,unspecified,"A person (alive, dead, undead, or fictional).","사람 (생존·사망·가상 모두 포함).",uncategorized,"foaf:Person, prov:Person",equivalentClass with foaf:Person,https://schema.org/Person
INV-1010,Schema.org,current (2026-05-03),Class,Organization,https://schema.org/Organization,schema:Organization,schema:Thing,,,unspecified,"An organization such as a school, NGO, corporation, club, etc.","학교·NGO·기업·단체 등 조직.",uncategorized,"foaf:Organization, prov:Organization, gs1:Organization, fibo-fnd-org-org:Organization","equivalentClass with multiple external orgs",https://schema.org/Organization
INV-1011,Schema.org,current (2026-05-03),Class,Place,https://schema.org/Place,schema:Place,schema:Thing,,,unspecified,"Entities that have a somewhat fixed, physical extension.","고정된 물리적 범위를 가진 개체.",spatial.location,"cmns-loc:Location",equivalentClass with cmns-loc:Location,https://schema.org/Place
INV-1012,Schema.org,current (2026-05-03),Class,PostalAddress,https://schema.org/PostalAddress,schema:PostalAddress,schema:ContactPoint,,,unspecified,The mailing address.,우편 주소.,actor.contact,"gs1:PostalAddress, unece:TradeAddress, fibo-fnd-plc-adr:PostalAddress, cmns-loc:Address",equivalentClass with multiple external,https://schema.org/PostalAddress
INV-1013,Schema.org,current (2026-05-03),Class,ContactPoint,https://schema.org/ContactPoint,schema:ContactPoint,schema:StructuredValue,,,unspecified,"A contact point—for example, a Customer Complaints department.",연락처 (예: 고객 불만 처리 부서).,actor.contact,"gs1:ContactPoint, fibo-fnd-org-org:ContactPoint, vcard:VCard","equivalentClass with vcard:VCard. Original spec uses HTML entity &#x2014; (em-dash)",https://schema.org/ContactPoint
INV-1014,Schema.org,current (2026-05-03),Class,PropertyValue,https://schema.org/PropertyValue,schema:PropertyValue,schema:StructuredValue,,,unspecified,"A property-value pair, e.g. representing a feature of a product or place. Use the 'name' property for the name of the property. If there is an additional human-readable version of the value, put that into the 'description' property. Always use specific schema.org properties when a) they exist and b) you can populate them. Using PropertyValue as a substitute will typically not trigger the same effect as using the original, specific property.","속성-값 쌍. 제품·장소의 특성 표현. name으로 속성명, description으로 사람이 읽기 쉬운 값.",measurement.value,,"[TRUNCATED→BOOSTED] Original JSON-LD rdfs:comment includes \\n\\n line breaks (converted to spaces in definition column). Full text preserved verbatim. Used for variable measurement in datasets via cr:variableMeasured",https://schema.org/PropertyValue
