tta_cv_id,tta_cv_value,tta_cv_category,global_mapping_1,global_mapping_2,mapping_priority,semantic_diff,notes
TTA-0976-CV-001,feeRequired,CollectionAccessRestrictionType,re3data-cv:feeRequired,dcterms-cv:accessRights:feeRequired,primary,(none),TTA cites re3data dataAccessRestriction. Used by Collection/Dataset/File AccessRestriction
TTA-0976-CV-002,registration,CollectionAccessRestrictionType,re3data-cv:registration,,primary,(none),TTA cites re3data dataAccessRestriction
TTA-0976-CV-003,institutional membership,CollectionAccessRestrictionType,re3data-cv:institutional_membership,,primary,(none),TTA cites re3data dataAccessRestriction. Note value contains space
TTA-0976-CV-004,non-registration,CollectionAccessRestrictionType,re3data-cv:non-registration,,primary,(none),TTA cites re3data dataAccessRestriction
TTA-0976-CV-005,free,CollectionAccessRestrictionType,re3data-cv:free,dcterms-cv:accessRights:free,primary,(none),TTA cites re3data dataAccessRestriction. dcat:Distribution dcterms:accessRights also uses similar values
TTA-0976-CV-006,other,CollectionAccessRestrictionType,re3data-cv:other,,primary,(none),TTA cites re3data dataAccessRestriction. Generic catchall
TTA-0976-CV-007,open,CollectionAccessType,dcat-cv:open,re3data-cv:dataAccessType:open,primary,(none),"dcat conventional value (no formal vocab) + re3data direct cite. TTA-AP 권장: dcterms:accessRights value ""open"""
TTA-0976-CV-008,embargoed,CollectionAccessType,dcat-cv:embargoed,re3data-cv:dataAccessType:embargoed,primary,(none),Embargo period semantics — DataCite uses Embargoed dateType too
TTA-0976-CV-009,restricted,CollectionAccessType,dcat-cv:restricted,re3data-cv:dataAccessType:restricted,primary,(none),dcat-AP convention
TTA-0976-CV-010,closed,CollectionAccessType,dcat-cv:closed,re3data-cv:dataAccessType:closed,primary,(none),dcat-AP convention
TTA-0976-CV-011,Created,CollectionDateType,datacite-cv:Created,prov:generatedAtTime (semantic equivalent),primary,(none),Same string value as datacite-cv:Created (CV-044). Phase C: trigger c5 prov:generatedAtTime when used in Date property
TTA-0976-CV-012,Updated,CollectionDateType,datacite-cv:Updated,prov:wasRevisionOf (semantic equivalent),primary,(none),Same string value as datacite-cv:Updated (CV-047). Phase C: trigger c5 prov:wasRevisionOf
