inventory_id,standard,version,term_type,term_name,iri,prefix_local,parent,domain,range,cardinality,definition,definition_ko,concept_tag,equivalent_terms,notes,source_url,element_name_ko,element_name_en,tta_iri
TTA-0976-001,TTAK.KO-10.0976,2017,Class,Repository,https://standard.tta.or.kr/0976#Repository,tta0976:Repository,owl:Thing,,,0..1,▫ 연구데이터를 담고 있는 시스템 및 서비스 정보를 기술함 ▫ R2~R21 요소를 포함하는 최상위 요소,연구데이터를 담고 있는 시스템 및 서비스를 기술하는 최상위 요소.,structure.dataset,"dcat:Catalog (loose)","TTA M/R/O = O. 요소 유형: Class. R2-R21 포함. 임시 IRI 부여 (decision: 2026-05-04). TTA가 공식 IRI 발급 시 갱신 필요",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리,Repository,https://standard.tta.or.kr/0976#Repository
TTA-0976-002,TTAK.KO-10.0976,2017,Property,RepositoryUrl,,tta0976:RepositoryUrl,tta0976:Repository,tta0976:Repository,xsd:anyURI,1..1,▫ 리포지터리 서비스를 웹에서 접근할 수 있는 웹주소(URL)를 기입함,리포지터리 서비스에 접근 가능한 URL.,distribution.url,"dcat:landingPage, schema:url","TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 4)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 URL,Repository URL,
TTA-0976-003,TTAK.KO-10.0976,2017,Property,Identifier,,tta0976:Repository_Identifier,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터 레지스트리 서비스에 등록된 식별자,리포지터리 레지스트리 서비스에 등록된 식별자.,identification.identifier,"dcterms:identifier, schema:identifier","TTA M/R/O = M. 요소 유형: Property. 출처: re3data.org (ID 5)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 식별자,Identifier,
TTA-0976-004,TTAK.KO-10.0976,2017,Property,IdentifierType,,tta0976:Repository_IdentifierType,tta0976:Repository_Identifier,tta0976:Repository_Identifier,xsd:string,1..1,▫ 리포지터리 <Identifier> 요소의 유형 ▫ 기술에 허용된 값은 ‘부록 Ⅱ-1 통제어 : IdentifierType’ 참조,리포지터리 식별자의 유형 (통제어 IdentifierType 참조).,identification.identifier,,"TTA M/R/O = M. 요소 유형: CVP. 통제어: IdentifierType (DataCite-Property ID 1.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,식별자 유형,Identifier Type,
TTA-0976-005,TTAK.KO-10.0976,2017,Property,RepositoryName,,tta0976:RepositoryName,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리의 이름 또는 명칭 ▫ 기술되는 값의 언어 정보가 함께 기술되는 것을 권고함,리포지터리의 이름. 언어 정보 함께 기술 권고.,identification.title,"dcterms:title, schema:name","TTA M/R/O = M. 요소 유형: Property. 출처: DCMI title",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 이름,Repository Name,
TTA-0976-006,TTAK.KO-10.0976,2017,Property,RepositoryNameType,,tta0976:RepositoryNameType,tta0976:RepositoryName,tta0976:RepositoryName,xsd:string,0..1,▫ <RepositoryName> 유형으로서 요소의 값은 주어진 값에서 선택함 ▫ ‘부록 Ⅱ-1 통제어 : TitleType’을 참조하여 해당 값을 선택함,리포지터리 이름의 유형 (TitleType 통제어 참조).,identification.title,,"TTA M/R/O = O. 요소 유형: CVP. 통제어: TitleType (DataCite ID 3.1)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 이름 유형,Repository Name Type,
TTA-0976-007,TTAK.KO-10.0976,2017,Property,Type,,tta0976:Repository_Type,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리의 유형을 기입함 ▫ ‘부록 Ⅱ-1 통제어 : RepositoryType’을 참조하여 해당 값을 선택함,리포지터리 유형 (disciplinary/governmental/institutional/multidisciplinary 등).,uncategorized,"dcterms:type",TTA M/R/O = M. 요소 유형: CVP. 통제어: RepositoryType (re3data),https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 유형,Type,
TTA-0976-008,TTAK.KO-10.0976,2017,Property,RepositoryLanguage,,tta0976:RepositoryLanguage,tta0976:Repository,tta0976:Repository,xsd:string,1..1,▫ 리포지터리의 이용자 인터페이스를 구성하는 언어정보를 기입함 ▫ ‘ISO-639-3’을 사용하여 기술함. (예: kor eng deu fra),리포지터리 UI 언어 (ISO-639-3 코드).,uncategorized,"dcterms:language",TTA M/R/O = M. 요소 유형: CVP. 출처: re3data.org (ID 12),https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,리포지터리 언어,Repository Language,
TTA-0976-009,TTAK.KO-10.0976,2017,Class,Subject,,tta0976:Repository_Subject,tta0976:Repository,tta0976:Repository,,1..1,▫ 리포지터리의 내용이 지닌 주제 정보를 기술함 XML 혹은 JSON 형식으로 리포지터리 정보를 교환할 때 최상위 용어로 사용할 수 있음,리포지터리의 주제 정보를 그룹핑하는 클래스 요소.,identification.keyword,"dcterms:subject, dcat:theme","TTA M/R/O = M. 요소 유형: Class. SubjectScheme/SubjectID/SubjectName 포함",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제,Subject,
TTA-0976-010,TTAK.KO-10.0976,2017,Property,SubjectScheme,,tta0976:Repository_SubjectScheme,tta0976:Repository_Subject,tta0976:Repository_Subject,xsd:string,0..*,▫ 리포지터리의 주제정보 기술을 위해 참고되는 정보원을 기술함 ▫ 웹으로 접근 가능할 경우 웹주소를 기술할 수 있으며 정보원의 명칭을 기술할 수 있음,주제 분류 체계의 출처 (예: DFG).,identification.keyword,,"TTA M/R/O = R. 요소 유형: CVP. 출처: re3data.org (ID 13)",https://committee.tta.or.kr/data/standard_view.jsp?pk_num=TTAK.KO-10.0976,주제 체계,Subject Scheme,
